id,mailName,autherType,autherName,dear,mailBody,attachId,attachNum
100100,报社1,1,报社编辑,安德森,虽然我很抱歉，但这确实是我见过最为糟糕的作品，它的逻辑行文让我做了整整三天的噩梦，求您别再惩罚我了。,0,0
100101,报社2,1,报社编辑,安德森,很抱歉，我不能违背自己的良心，这实在是极为平庸的作品，也许流浪汉常光顾的二流书摊是它更适合的归宿。,0,0
100102,报社3,1,报社编辑,安德森先生,已收到您的作品，虽然它无太多出彩之处，但我想读者在享用下午茶时，会很乐意阅读这样简洁的故事。,0,0
100103,报社4,1,报社编辑,安德森,这和您往日的文风不太相符，我猜也许这是某种尝试的雏形，期待您更精彩的文章。,0,0
100104,报社5,1,报社编辑,尊敬的安德森先生,您近日的新作如缪斯再世，优美的辞藻，深刻的思想，丰富的想象，阅读您的作品真是莫大的享受。,0,0
100105,报社6,1,报社编辑,安德森,我敢说您的作品会创造新的流派，简洁的文风，犀利的观点，巧妙的结构，定会引起文学界的轩然大波，我很荣幸见证此刻。,0,0
100201,医生1,2,克劳医生,亲爱的安德森,给你准备的蜥蜴粉每天记得冲泡，我在杂志上看到你的文章了，你不会以那种状态还在继续写作吧。,0,0
100202,狂热粉丝1,3,您的忠实粉丝彼得,伟大的安德森,您忠诚的谦卑的读者无比焦急地等待您的新作，看不到您作品的每一天，我都在抑制将您拉入地狱的想法，愿您早日结束对我的折磨。,0,0
100203,医生2,2,克劳医生,安德森,蜥蜴粉已无法影响你那异常的大脑神经，现在只能充当你写作时的安慰剂了，虽然很抱歉，但我不得不说，你这样是咎由自取，我以朋友的身份向你提出忠告：停止写作，接受治疗。,0,0
100204,图书馆1,4,文森特,安德森先生,您上次邮寄的作品已被刊登至第5期，另外，请您下次别再拖延至截稿日期后，您知道的，就算是您这样的作家，也不是次次都能宽限时间的。,0,0
100205,狂热粉丝2,3,您的忠实粉丝彼得,伟大的安德森,您忠诚的谦卑的读者拜读了您的新作，宛如行走沙漠时渴死的人饮下突降的甘霖，但不够，还不够，这种饥渴控制了我的神经，它现在敏感又脆弱，只有您，只有您能解救我，否则您只能和我一起下地狱了，盼望您的新作。,0,0
100206,图书馆2,4,文森特,安德森先生,您最近定是沐浴在灵感缪斯的光耀下，您的用词、句式极有活力，您的创造力前人不及，您的作品让我们欲罢不能，期盼您的新作，您知道这也是无数读者的心愿。,0,0
100207,医生3,2,克劳医生,亲爱的安德森,写作貌似对你有着致命的蛊惑，我无法确认它是否是你精神异常的元凶，但有一点毋庸置疑，你的大脑已出现了部分异变，这是极为危险的征兆。,0,0